id,disease_name,symptoms,treatment,prevention,description
78,Tắc ruột,"Đau bụng quặn, nôn, bụng chướng, không đại tiện, không xì hơi.","Nhập viện, đặt sonde dạ dày, truyền dịch, phẫu thuật (nếu cần).","Ăn nhiều chất xơ, uống đủ nước, điều trị thoát vị kịp thời.","Ruột bị tắc do dính, thoát vị, khối u hoặc giun."
79,Xuất huyết tiêu hóa,"Nôn ra máu, đại tiện phân đen hoặc máu tươi, chóng mặt, ngất.","Cấp cứu ngay, nội soi cầm máu, truyền máu, phẫu thuật (nếu cần).","Điều trị loét dạ dày, xơ gan, tránh thuốc gây loét.","Chảy máu trong đường tiêu hóa do loét, giãn tĩnh mạch thực quản, u."
80,Hội chứng ruột kích thích (IBS),"Đau bụng, đầy hơi, tiêu chảy hoặc táo bón luân phiên.","Thay đổi chế độ ăn, giảm stress, thuốc điều chỉnh nhu động ruột.","Ăn uống lành mạnh, tránh thực phẩm kích thích, giảm stress.","Rối loạn chức năng ruột, không có tổn thương cấu trúc."
81,Viêm loét đại tràng,"Tiêu chảy có máu, đau bụng, mót rặn, sốt, sụt cân.","Thuốc kháng viêm, thuốc ức chế miễn dịch, phẫu thuật (nếu nặng).","Không có cách phòng ngừa cụ thể, phát hiện và điều trị sớm.","Viêm mãn tính niêm mạc đại tràng, bệnh tự miễn."
82,Bệnh Crohn,"Đau bụng, tiêu chảy, sốt, sụt cân, loét miệng.","Thuốc kháng viêm, thuốc ức chế miễn dịch, phẫu thuật (nếu biến chứng).","Không có cách phòng ngừa cụ thể, phát hiện và điều trị sớm.","Viêm mãn tính toàn bộ thành ruột, bệnh tự miễn."
83,Viêm gan do mỡ (NAFLD),"Thường không triệu chứng, có thể mệt mỏi, đau bụng phải.","Giảm cân, tập thể dục, kiểm soát đường huyết và mỡ máu.","Duy trì cân nặng hợp lý, ăn uống lành mạnh, tập thể dục.","Tích tụ mỡ trong gan không do rượu, liên quan đến béo phì, tiểu đường."
84,Viêm phế quản mãn,"Ho có đờm kéo dài trên 3 tháng/năm trong 2 năm liên tiếp, khó thở.","Ngừng hút thuốc, thuốc giãn phế quản, thuốc long đờm, kháng sinh (nếu nhiễm trùng).","Không hút thuốc, tránh ô nhiễm không khí, tiêm phòng cúm.","Viêm phế quản kéo dài, thường do hút thuốc lá."
85,Bệnh phổi tắc nghẽn mãn tính (COPD),"Khó thở, ho có đờm, thở khò khè, mệt mỏi.","Ngừng hút thuốc, thuốc giãn phế quản, corticoid, oxy trị liệu.","Không hút thuốc, tránh ô nhiễm không khí, tiêm phòng cúm.","Nhóm bệnh phổi gây tắc nghẽn luồng khí, chủ yếu do hút thuốc."
86,Hen phế quản,"Khó thở, thở khò khè, ho, tức ngực (cơn).","Thuốc giãn phế quản, corticoid hít, tránh tác nhân kích thích.","Tránh dị nguyên (bụi, phấn hoa, lông thú), không hút thuốc, kiểm soát stress.","Viêm mãn tính đường thở, co thắt phế quản gây khó thở."
87,Lao màng phổi,"Đau ngực, khó thở, ho, sốt, đổ mồ hôi đêm.","Thuốc kháng lao, chọc hút dịch màng phổi.","Tiêm vắc-xin BCG, tránh tiếp xúc người bệnh lao.","Lao lan sang màng phổi, tích tụ dịch trong khoang màng phổi."
88,Tràn dịch màng phổi,"Khó thở, đau ngực, ho.","Chọc hút dịch, điều trị nguyên nhân (nhiễm trùng, suy tim, ung thư).","Điều trị kịp thời bệnh phổi, tim, thận.","Tích tụ dịch trong khoang màng phổi do nhiều nguyên nhân."
89,Tràn khí màng phổi,"Đau ngực đột ngột, khó thở, tim đập nhanh.","Chọc hút khí, đặt dẫn lưu màng phổi.","Tránh chấn thương ngực, điều trị bệnh phổi.","Khí tích tụ trong khoang màng phổi làm xẹp phổi."
90,Viêm phổi do nấm,"Ho, sốt, khó thở, đau ngực (ở người suy giảm miễn dịch).","Thuốc kháng nấm, tăng cường miễn dịch.","Tránh môi trường ẩm ướt, tăng cường miễn dịch.","Nhiễm nấm phổi, thường ở người HIV, dùng corticoid lâu dài."
91,Viêm mũi dị ứng,"Hắt hơi, sổ mũi, ngứa mũi, nghẹt mũi.","Thuốc kháng histamin, xịt mũi corticoid, tránh dị nguyên.","Tránh dị nguyên (bụi, phấn hoa, lông thú), vệ sinh nhà cửa.","Viêm niêm mạc mũi do dị ứng với các tác nhân môi trường."
92,Viêm kết mạc,"Mắt đỏ, ngứa, chảy nước mắt, ghèn, nhạy sáng.","Nhỏ mắt kháng sinh (nếu do vi khuẩn), kháng histamin (nếu dị ứng), vệ sinh mắt.","Rửa tay thường xuyên, không dụi mắt, không dùng chung khăn mặt.","Viêm màng kết mạc mắt do nhiễm trùng hoặc dị ứng."
93,Đục thủy tinh thể (Cataract),"Mờ mắt, nhìn mờ, chói sáng, giảm thị lực.","Phẫu thuật thay thủy tinh thể nhân tạo.","Bảo vệ mắt khỏi tia UV, kiểm soát đường huyết, không hút thuốc.","Thủy tinh thể mắt bị đục do tuổi tác, tiểu đường, chấn thương."
94,Tăng nhãn áp (Glaucoma),"Thường không triệu chứng, giảm thị lực ngoại vi, đau mắt (cấp tính).","Nhỏ mắt hạ nhãn áp, laser, phẫu thuật.","Khám mắt định kỳ, đặc biệt người có tiền sử gia đình.","Tăng áp lực trong mắt làm tổn thương dây thần kinh thị giác."
95,Thoái hóa điểm vàng,"Giảm thị lực trung tâm, nhìn méo, khó đọc sách.","Bổ sung vitamin, laser, tiêm thuốc vào mắt.","Ăn nhiều rau xanh, cá, bảo vệ mắt khỏi tia UV, không hút thuốc.","Thoái hóa điểm vàng võng mạc do tuổi tác."
96,Viêm tai ngoài,"Đau tai, ngứa tai, chảy dịch tai, sưng đỏ ống tai ngoài.","Nhỏ tai kháng sinh, giảm đau, giữ tai khô.","Khôngковыряться tai, giữ tai khô sau bơi.","Viêm da ống tai ngoài do nhiễm trùng hoặc dị ứng."
97,Ù tai (Tinnitus),"Nghe thấy tiếng kêu, rít, vo ve trong tai không có nguồn âm bên ngoài.","Điều trị nguyên nhân (nếu có), liệu pháp âm thanh, thuốc (hạn chế).","Tránh tiếng ồn lớn, kiểm soát huyết áp, giảm stress.","Cảm giác nghe thấy âm thanh không có nguồn bên ngoài."
98,Viêm lợi,"Lợi sưng, đỏ, chảy máu khi đánh răng, hôi miệng.","Vệ sinh răng miệng đúng cách, cạo vôi răng, súc miệng nước muối.","Đánh răng 2 lần/ngày, dùng chỉ nha khoa, khám nha sĩ định kỳ.","Viêm nướu răng do mảng bám và vi khuẩn."
99,Sâu răng,"Đau răng, nhạy cảm với nóng lạnh, lỗ đen trên răng.","Trám răng, lấy tủy, nhổ răng (nếu nặng).","Đánh răng 2 lần/ngày, hạn chế đường, khám nha sĩ định kỳ.","Men răng bị phá hủy do acid từ vi khuẩn."
100,Viêm quanh răng,"Lợi sưng, chảy máu, chảy mủ, răng lung lay, hôi miệng.","Cạo vôi răng sâu, kháng sinh, phẫu thuật nha chu, nhổ răng (nếu nặng).","Vệ sinh răng miệng tốt, khám nha sĩ định kỳ, không hút thuốc.","Viêm mô quanh răng (lợi, xương, dây chằng) do vi khuẩn."
